electricity_pricing,electricity_pricing_predicted_6h,electricity_pricing_predicted_12h,electricity_pricing_predicted_24h
0.143,0.137,0.142,0.162
0.14,0.135,0.14,0.163
0.138,0.135,0.111,0.154
0.139,0.138,0.098,0.149
0.139,0.139,0.098,0.14
0.139,0.14,0.103,0.137
0.137,0.142,0.103,0.123
0.135,0.14,0.098,0.112
0.135,0.111,0.098,0.11
0.138,0.098,0.139,0.111
0.139,0.098,0.146,0.139
0.14,0.103,0.155,0.159
0.142,0.103,0.162,0.175
0.14,0.098,0.163,0.156
0.111,0.098,0.154,0.141
0.098,0.139,0.149,0.14
0.098,0.146,0.14,0.136
0.103,0.155,0.137,0.135
0.103,0.162,0.123,0.127
0.098,0.163,0.112,0.118
0.098,0.154,0.11,0.138
0.139,0.149,0.111,0.145
0.146,0.14,0.139,0.155
0.155,0.137,0.159,0.155
0.162,0.123,0.175,0.154
0.163,0.112,0.156,0.145
0.154,0.11,0.141,0.135
0.149,0.111,0.14,0.119
0.14,0.139,0.136,0.127
0.137,0.159,0.135,0.114
0.123,0.175,0.127,0.108
0.112,0.156,0.118,0.096
0.11,0.141,0.138,0.093
0.111,0.14,0.145,0.095
0.139,0.136,0.155,0.114
0.159,0.135,0.155,0.133
0.175,0.127,0.154,0.139
0.156,0.118,0.145,0.139
0.141,0.138,0.135,0.13
0.14,0.145,0.119,0.113
0.136,0.155,0.127,0.096
0.135,0.155,0.114,0.094
0.127,0.154,0.108,0.09
0.118,0.145,0.096,0.09
0.138,0.135,0.093,0.09
0.145,0.119,0.095,0.091
0.155,0.127,0.114,0.106
0.155,0.114,0.133,0.114
0.154,0.108,0.139,0.128
0.145,0.096,0.139,0.103
0.135,0.093,0.13,0.092
0.119,0.095,0.113,0.084
0.127,0.114,0.096,0.061
0.114,0.133,0.094,0.038
0.108,0.139,0.09,0.027
0.096,0.139,0.09,0.01
0.093,0.13,0.09,0.005
0.095,0.113,0.091,0.013
0.114,0.096,0.106,0.049
0.133,0.094,0.114,0.075
0.139,0.09,0.128,0.098
0.139,0.09,0.103,0.095
0.13,0.09,0.092,0.087
0.113,0.091,0.084,0.071
0.096,0.106,0.061,0.062
0.094,0.114,0.038,0.06
0.09,0.128,0.027,0.05
0.09,0.103,0.01,0.045
0.09,0.092,0.005,0.046
0.091,0.084,0.013,0.061
0.106,0.061,0.049,0.083
0.114,0.038,0.075,0.102
0.128,0.027,0.098,0.101
0.103,0.01,0.095,0.088
0.092,0.005,0.087,0.07
0.084,0.013,0.071,0.055
0.061,0.049,0.062,0.022
0.038,0.075,0.06,0.004
0.027,0.098,0.05,0.004
0.01,0.095,0.045,0.004
0.005,0.087,0.046,0.004
0.013,0.071,0.061,0.006
0.049,0.062,0.083,0.053
0.075,0.06,0.102,0.075
0.098,0.05,0.101,0.092
0.095,0.045,0.088,0.095
0.087,0.046,0.07,0.093
0.071,0.061,0.055,0.093
0.062,0.083,0.022,0.095
0.06,0.102,0.004,0.095
0.05,0.101,0.004,0.093
0.045,0.088,0.004,0.093
0.046,0.07,0.004,0.094
0.061,0.055,0.006,0.093
0.083,0.022,0.053,0.091
0.102,0.004,0.075,0.091
0.101,0.004,0.092,0.095
0.088,0.004,0.095,0.093
0.07,0.004,0.093,0.075
0.055,0.006,0.093,0.062
0.022,0.053,0.095,0.037
0.004,0.075,0.095,0.005
0.004,0.092,0.093,0.004
0.004,0.095,0.093,0.004
0.004,0.093,0.094,0.004
0.006,0.093,0.093,0.004
0.053,0.095,0.091,0.004
0.075,0.095,0.091,0.027
0.092,0.093,0.095,0.039
0.095,0.093,0.093,0.036
0.093,0.094,0.075,0.005
0.093,0.093,0.062,0.004
